Title,BibTex,DOI,Authors,Year,Fields,Link
Quantum Inception Score,"@Inproceedings{Sone2023QuantumIS,
 author = {Akira Sone and Naoki Yamamoto},
 title = {Quantum Inception Score},
 year = {2023}
}
",,"['Akira Sone', 'Naoki Yamamoto']",2023.0,"Physics, Computer Science, Mathematics",https://www.semanticscholar.org/paper/a5bcaae165d38a9fbcaa9520135fb48ed3ef5765
Black Box Warning: Large Language Models and the Future of Infectious Diseases Consultation.,"@Article{Schwartz2023BlackBW,
 author = {Ilan S Schwartz and Katherine E Link and Roxana Daneshjou and Nicolás Cortés-Penfield},
 journal = {Clinical infectious diseases : an official publication of the Infectious Diseases Society of America},
 title = {Black Box Warning: Large Language Models and the Future of Infectious Diseases Consultation.},
 year = {2023}
}
",,"['Ilan S Schwartz', 'Katherine E Link', 'Roxana Daneshjou', 'Nicolás Cortés-Penfield']",2023.0,Medicine,https://www.semanticscholar.org/paper/816f709246530845971c62374c84a2fed8871b8e
Generalisation and reliability of deep learning for digital pathology in a clinical setting,"@Article{Pocevičiūtė2023GeneralisationAR,
 author = {Milda Pocevičiūtė},
 journal = {Linköping Studies in Science and Technology. Dissertations},
 title = {Generalisation and reliability of deep learning for digital pathology in a clinical setting},
 year = {2023}
}
",10.1093/cid/ciad633,['Milda Pocevičiūtė'],2023.0,Computer Science,https://www.semanticscholar.org/paper/8fe0f7ae8c76422a9509db10af7340e5ef0dd726
Sociotechnical challenges to the technological accuracy of computer vision: The new materialism perspective,"@Article{Kim2023SociotechnicalCT,
 author = {Eun-Sung Kim and Yoehan Oh and Gi Woong Yun},
 journal = {Technology in Society},
 title = {Sociotechnical challenges to the technological accuracy of computer vision: The new materialism perspective},
 year = {2023}
}
",10.3384/9789180753005,"['Eun-Sung Kim', 'Yoehan Oh', 'Gi Woong Yun']",2023.0,,https://www.semanticscholar.org/paper/c6356a861968cc2e08c18d34b4e0e3d07e175f29
Power and reproducibility in the external validation of brain-phenotype predictions,"@Article{Rosenblatt2023PowerAR,
 author = {M. Rosenblatt and Link Tejavibulya and Chris C. Camp and Rongtao Jiang and M. Westwater and S. Noble and Dustin Scheinost},
 journal = {bioRxiv},
 title = {Power and reproducibility in the external validation of brain-phenotype predictions},
 year = {2023}
}
",10.1016/j.techsoc.2023.102388,"['M. Rosenblatt', 'Link Tejavibulya', 'Chris C. Camp', 'Rongtao Jiang', 'M. Westwater', 'S. Noble', 'Dustin Scheinost']",2023.0,"Biology, Medicine",https://www.semanticscholar.org/paper/bae92c1b1a90f0e8177a09041dc93ec45a94a12f
"Knowledge-based in silico models and dataset for the comparative evaluation of mammography AI for a range of breast characteristics, lesion conspicuities and doses","@Article{Sizikova2023KnowledgebasedIS,
 author = {Elena Sizikova and Niloufar Saharkhiz and D. Sharma and Miguel Lago and B. Sahiner and Jana G. Delfino and A. Badano},
 journal = {ArXiv},
 title = {Knowledge-based in silico models and dataset for the comparative evaluation of mammography AI for a range of breast characteristics, lesion conspicuities and doses},
 volume = {abs/2310.18494},
 year = {2023}
}
",10.1101/2023.10.25.563971,"['Elena Sizikova', 'Niloufar Saharkhiz', 'D. Sharma', 'Miguel Lago', 'B. Sahiner', 'Jana G. Delfino', 'A. Badano']",2023.0,"Computer Science, Engineering",https://www.semanticscholar.org/paper/e9709e204bb6b9e94cb61a9b05967766dc50ed07
Dialysis resource allocation in critical care: the impact of the COVID-19 pandemic and the promise of big data analytics,"@Article{Koraishy2023DialysisRA,
 author = {F. Koraishy and Sandeep Mallipattu},
 journal = {Frontiers in Nephrology},
 title = {Dialysis resource allocation in critical care: the impact of the COVID-19 pandemic and the promise of big data analytics},
 volume = {3},
 year = {2023}
}
",10.48550/arXiv.2310.18494,"['F. Koraishy', 'Sandeep Mallipattu']",2023.0,Medicine,https://www.semanticscholar.org/paper/25fa8058d90fe61f9b66ec6278275c58ee71f038
Improving Robustness and Reliability in Medical Image Classification with Latent-Guided Diffusion and Nested-Ensembles,"@Article{Shen2023ImprovingRA,
 author = {Xing Shen and Hengguan Huang and B. Nichyporuk and T. Arbel},
 journal = {ArXiv},
 title = {Improving Robustness and Reliability in Medical Image Classification with Latent-Guided Diffusion and Nested-Ensembles},
 volume = {abs/2310.15952},
 year = {2023}
}
",10.3389/fneph.2023.1266967,"['Xing Shen', 'Hengguan Huang', 'B. Nichyporuk', 'T. Arbel']",2023.0,Computer Science,https://www.semanticscholar.org/paper/004c8c5e20bf261334d7bca9ddce23c9bc07449a
Enhancing radiomics and Deep Learning systems through the standardization of medical imaging workflows,"@Article{Cobo2023EnhancingRA,
 author = {Miriam Cobo and P. Menéndez Fernández-Miranda and G. Bastarrika and L. Lloret Iglesias},
 journal = {Scientific Data},
 title = {Enhancing radiomics and Deep Learning systems through the standardization of medical imaging workflows},
 volume = {10},
 year = {2023}
}
",10.48550/arXiv.2310.15952,"['Miriam Cobo', 'P. Menéndez Fernández-Miranda', 'G. Bastarrika', 'L. Lloret Iglesias']",2023.0,Medicine,https://www.semanticscholar.org/paper/090d12df4cb4431d1f4be02995c2f970aec981f4
A Comprehensive Review and Analysis of Deep Learning-Based Medical Image Adversarial Attack and Defense,"@Article{Muoka2023ACR,
 author = {Gladys W. Muoka and Ding Yi and C. Ukwuoma and Albert Mutale and C. Ejiyi and Asha Khamis Mzee and Emmanuel S. A. Gyarteng and Ali Alqahtani and M. A. Al-antari},
 journal = {Mathematics},
 title = {A Comprehensive Review and Analysis of Deep Learning-Based Medical Image Adversarial Attack and Defense},
 year = {2023}
}
",10.1038/s41597-023-02641-x,"['Gladys W. Muoka', 'Ding Yi', 'C. Ukwuoma', 'Albert Mutale', 'C. Ejiyi', 'Asha Khamis Mzee', 'Emmanuel S. A. Gyarteng', 'Ali Alqahtani', 'M. A. Al-antari']",2023.0,,https://www.semanticscholar.org/paper/7b9b39cc2fe17aa5bb3d8a07ea4292d7e91938de
